APOGEE_ID,LOGG,TEFF,MG_FE,FE_H,C_FE,N_FE,LOGG_ERR,TEFF_ERR,MG_FE_ERR,FE_H_ERR,C_FE_ERR,N_FE_ERR,age,age_68U,age_68L,ageErr,logAge,logAgeErr,distKpc,distKpc_68U,distKpc_68L,distErrKpc,logDistKpc,logDistKpcErr,LOGG_NORM,LOGG_ERR_NORM,TEFF_NORM,TEFF_ERR_NORM,MG_FE_NORM,MG_FE_ERR_NORM,FE_H_NORM,FE_H_ERR_NORM,C_FE_NORM,C_FE_ERR_NORM,N_FE_NORM,N_FE_ERR_NORM,C_N,C_N_ERR,C_N_NORM,C_N_ERR_NORM,train_weight
2M19042897+4250200,3.2048842906951904,4905.154296875,0.0450085997581481,-0.0074856001883745,-0.0926223993301391,0.2476375997066497,0.0255034640431404,11.21165657043457,0.0126185677945613,0.0084931198507547,0.0156346410512924,0.0189741533249616,3.5101,4.4163,2.8386,0.7888499999999998,0.5453194893517355,0.0959771844940157,1.3426956,1.3612935,1.3228178,0.0192378499999999,0.1279775657405844,0.0062258703108913,1.6199317548500418,0.07715194668218231,0.985438830158155,0.05960123779380703,-0.5434790818343282,0.13550014151112103,0.34556459283544216,0.03537293047087371,-0.8437038175842072,0.18773411919688412,0.13619442373113516,0.18384921366225546,-0.34025999903678883,0.024585778311900335,-0.5223207146742621,0.15229630637411265,0.7814502467408118
2M19321643+4931452,2.7896761894226074,4824.24658203125,0.1491789817810058,-0.3105599880218506,-0.0016915202140808,0.1273799836635589,0.0261764544993639,9.693382263183594,0.0129891587421298,0.0081498539075255,0.0161573179066181,0.019277598708868,8.2826,10.3741,6.5313,1.9214,0.9181666880415942,0.1004753987454689,1.203668,1.2204013,1.1846501,0.0178755999999999,0.080506714786357,0.0064562830818562,0.36386264842570853,0.07918784751935264,0.5553329023265676,0.051530081898671934,0.5751186651658087,0.1394796046844231,-0.9167076271172206,0.03394326474658908,0.24815549934206357,0.19401020054325163,-1.0290363914606897,0.18678943419621943,-0.12907150387763971,0.02515322511956809,0.7858838641442781,0.15581134876061908,0.4355048566106097
2M19271908+4812115,2.7798240184783936,4744.091796875,0.0432910025119781,0.0352369993925094,-0.0700649991631507,0.2980120182037353,0.0212492030113935,7.845165252685548,0.0101106911897659,0.0070586078800261,0.0109705002978444,0.0138068823143839,3.587,4.5043,2.8510000000000004,0.8266499999999999,0.5547313766759666,0.0993150454114171,1.7910639000000002,1.8175501,1.7645746,0.02648775,0.2531110805013724,0.006423183657216,0.33405829847128815,0.06428214516274108,0.12922955351305698,0.0417049484899536,-0.5619229079249134,0.10857017288277399,0.5234996239035952,0.029398342440574134,-0.5728441516777005,0.13172910102689736,0.6242951084240743,0.13378117132042935,-0.36807701736688603,0.01763467822298584,-0.6946328982574117,0.10923780095083577,0.7814502467408118
2M19354923+4232502,2.4718010425567627,4723.82861328125,0.233143001794815,-0.4381900131702423,0.1921200007200241,0.0396859943866729,0.0260797049850225,8.569128036499022,0.0129499277099967,0.00805239751935,0.0154473828151822,0.01838712207973,9.8819,12.4809,7.8523,2.3143,0.9948404547276608,0.1006245099529678,1.3103439,1.3289284,1.2897333999999998,0.0195974999999999,0.1173852912829673,0.0065008179129646,-0.5977591273887367,0.07889516518571481,0.02151034036703288,0.045553539263391896,1.4767373574723461,0.1390583357660952,-1.44827295115639,0.03353736937439931,2.575361800619123,0.1854856019521851,-1.8787433952642119,0.17816120055396975,0.15243400633335122,0.024014743267702882,2.529666342177214,0.14875903669982474,0.4355048566106097
2M18552344+4159111,2.5552198886871342,4608.7138671875,0.1671980023384094,-0.1843899935483932,0.064518004655838,0.1115100011229515,0.0230027455836534,7.369846820831299,0.0111874490976333,0.0076874624937772,0.0118089551106095,0.0145241962745785,7.9353,10.4722,6.6834,1.8944000000000003,0.8995633502315998,0.0975202367641302,1.1276719,1.1415224000000002,1.1116548000000002,0.0149338,0.0521827585597589,0.0057572452368181,-0.3454041391387915,0.06958688426842038,-0.5904403836321216,0.039178152676440155,0.7686097075067886,0.1201325665921564,-0.3912231737660124,0.032017454253358585,1.0431713102660325,0.14179690976292414,-1.1828078805466355,0.1407315529934415,-0.046991996467113495,0.0187190731134549,1.2943243800005175,0.1159550719834742,0.4355048566106097
2M18474887+4405004,3.049232006072998,4817.1962890625,0.0710742026567459,-0.0174020007252693,-0.0375999994575977,0.1954900026321411,0.0235895253717899,9.386579513549805,0.0114787854254245,0.0078204311430454,0.0133248455822467,0.0164285860955715,6.9073,8.8066,5.5552,1.6256999999999997,0.8393083188286702,0.1000542858834661,1.5235187,1.5469749,1.5007213,0.0231268,0.1828477892163688,0.0065916103176032,1.1490593767363224,0.07136198442155688,0.5178534999646929,0.04989911652599566,-0.2635825881248789,0.12326098134458595,0.304263851426295,0.032571254372516456,-0.18301824493292843,0.15999907772815766,-0.3690873958224095,0.15918405335536082,-0.23309000208973882,0.021153012808825238,0.14154253513225107,0.1310320819865626,0.4981996431663787
2M19082032+4141512,3.1520745754241943,4877.3134765625,0.1151790022850036,-0.1170699968934059,-0.0169159993529319,0.212349995970726,0.0227822717279195,8.911504745483398,0.0109227756038308,0.0070580728352069,0.013197761029005,0.0163269452750682,6.7356,8.45,5.3088,1.5705999999999998,0.8283762882672971,0.1009301723027128,0.7145796,0.725244,0.7040118000000001,0.0106161,-0.1459493863058329,0.0064521030443527,1.4601741497656064,0.06891991655244173,0.83743685191386,0.04737361603073154,0.21002160279798873,0.11729046149367298,-0.11084263012341758,0.0293961140364634,0.06534642991815852,0.158473100471111,-0.20572324119781984,0.1581992091514861,-0.2292659953236579,0.020994047684850938,0.16523029879120532,0.1300473744488773,0.4981996431663787
2M19063897+4155119,3.2283530235290527,4829.68798828125,0.3116230368614197,-0.2302100062370301,0.1102800071239471,0.094862014055252,0.0291281677782535,11.805282592773438,0.014896361157298,0.0097305588424205,0.0187903773039579,0.0220107603818178,13.2495,16.7888,10.4064,3.1912,1.1221994894925869,0.1038595701382622,0.7706571999999999,0.7825082,0.7586474,0.0119304,-0.1131387597631434,0.0067244617499236,1.6909283230508831,0.08811723942975204,0.5842594526361966,0.06275695751245332,2.3194681673750384,0.15995944053845929,-0.5820585972018045,0.0405267307448982,1.5926619700036884,0.2256268577553342,-1.3441178098508009,0.213272282509803,0.015417993068695096,0.02894048810595454,1.68092230529581,0.17927150352069288,0.6292196791939003
2M19321108+4823457,2.526653289794922,4718.77490234375,0.1388860046863556,-0.3053500056266785,-0.0141090154647827,0.1819199919700622,0.0258121266961097,8.905001640319824,0.0128269158303737,0.0083275092765688,0.0149375842884182,0.0179155282676219,9.883,11.3294,6.8391,2.24515,0.9948887953649106,0.1096039782398509,2.4400178,2.4826919,2.4015964,0.0405477499999999,0.3873929945410167,0.0072114017117419,-0.431822545316679,0.07808569923063556,-0.005355219190097399,0.04733904548222987,0.4645910779148247,0.1377374150904818,-0.8950086109420844,0.034683180246119875,0.09905149843317727,0.17936415809709913,-0.5005734098164848,0.17359171331313475,-0.1960290074348449,0.02332589928559149,0.3711164182482097,0.14449200098459497,0.4355048566106097
2M18465381+4739353,3.1243093013763428,4706.1171875,0.074110209941864,0.252810001373291,0.0075270235538482,0.2731900215148926,0.0189092308282852,7.122952938079834,0.0088116228580474,0.0065892357379198,0.0089363455772399,0.0115059316158294,9.3442,11.8815,7.5649,2.158300000000001,0.9705421253555272,0.0980340404316989,0.7290048000000001,0.7404387,0.7183398,0.01104945,-0.1372696121392952,0.0065795901137188,1.3761798759158863,0.057203365244704076,-0.07264371198231848,0.037865663221981594,-0.23098147019613857,0.09462057530195024,1.4296677701969236,0.02744345796473386,0.35884785159194255,0.10730383641544648,0.38378347691073095,0.11148621199550683,-0.26566299796104437,0.014568621575976146,-0.06023049380366387,0.09024515013663095,0.4355048566106097
